KEY,TIMESTAMP,time_to_exp,open_bet,close_bet,avg_price_up,high_bet,low_bet,total_volume,trade_count,stock_open_day,stock_close,stock_avg_period,stock_vol,poly_vol_imbalance,bs_neutral_prob,true_sentiment,next_stock_move,curr_stock_move,next_true_sent,abs_sentiment
AAPL,2026-02-13 17:00:00,3.9908333333333346,0.13,0.13,0.13,0.13,0.13,72.9884,4,255.77999877929688,259.57000732421875,259.3100077311198,0.23244580226674988,0.0,0.9931454406538408,-0.8631454406538408,0.0006931860142110655,,0.07419220282652106,0.8631454406538408
AAPL,2026-02-13 17:05:00,3.8369444444444447,0.23,0.24,0.20666666666666667,0.24,0.15,31.1753,6,255.77999877929688,259.75,259.5699971516927,0.233401845076103,-0.7725196670577766,0.9956199044939864,-0.7889532378273197,0.0012695943870655534,0.0006931860142110655,-0.02201116257046254,0.7889532378273197
AAPL,2026-02-13 17:15:00,3.713055555555556,0.17,0.2,0.18833333333333335,0.2,0.17,45.45,12,255.77999877929688,260.0799865722656,259.8783365885417,0.2108158571376635,-0.8055190538764783,0.9992977337311156,-0.8109644003977823,0.00029682412485286286,0.0012695943870655534,0.050973834703855414,0.8109644003977823
AAPL,2026-02-13 17:35:00,3.3869444444444454,0.24,0.24,0.24,0.24,0.24,5.1667,2,255.77999877929688,260.1571960449219,260.0357360839844,0.16775866572865286,-0.7600019199846401,0.9999905656939269,-0.7599905656939269,0.0004334630232790344,0.00029682412485286286,0.014157237199224015,0.7599905656939269
AAPL,2026-02-13 17:40:00,3.25138888888889,0.24,0.2,0.25416666666666665,0.31,0.2,102.4514,12,255.77999877929688,260.2699890136719,260.1166687011719,0.1309653105404115,-0.6953852031070928,0.9999999951613695,-0.7458333284947029,-0.00034584049170487867,0.0004334630232790344,-0.05416667150529719,0.7458333284947029
AAPL,2026-02-13 17:45:00,3.174722222222222,0.2,0.2,0.2,0.2,0.2,6.0,2,255.77999877929688,260.17999267578125,259.6749979654948,0.08294488552395173,-0.8,1.0,-0.8,-0.002462804790412273,-0.00034584049170487867,-0.015555552812715812,0.8
AAPL,2026-02-13 17:50:00,3.1069444444444443,0.19,0.15,0.18444444444444447,0.2,0.15,25.830000000000002,9,255.77999877929688,259.5400085449219,259.3066711425781,0.11053746312102843,-0.7884615384615384,0.9999999972571603,-0.8155555528127159,-0.000578089121683534,-0.002462804790412273,-0.03444444411867187,0.8155555528127159
AAPL,2026-02-13 17:55:00,3.0625,0.15,0.15,0.15,0.15,0.15,60.0,2,255.77999877929688,259.3900146484375,259.15334065755206,0.10727587200996927,0.0,0.9999999969313877,-0.8499999969313877,-0.0007327655375869982,-0.000578089121683534,-0.023333321083468195,0.8499999969313877
AAPL,2026-02-13 18:00:00,2.9491666666666667,0.15,0.08,0.12666666666666668,0.15,0.08,81.27179999999998,6,255.77999877929688,259.20001220703125,258.97666422526044,0.10875250664451604,-0.8374796166499785,0.9999999846815226,-0.8733333180148559,-0.00023149884536478486,-0.0007327655375869982,-0.031666662833297554,0.8733333180148559
AAPL,2026-02-13 18:10:00,2.8241666666666667,0.09,0.1,0.095,0.1,0.09,11.1462,4,255.77999877929688,259.1400146484375,259.00999959309894,0.10997185402832231,-0.9050884086444008,0.9999999808481534,-0.9049999808481535,-0.00015016142381248953,-0.00023149884536478486,0.06519999100356955,0.9049999808481535
AAPL,2026-02-13 18:25:00,2.5236111111111086,0.18,0.14,0.1602,0.18,0.14,57.4944,6,255.77999877929688,259.1011047363281,258.93703206380206,0.11271135641245712,-0.4553734061930783,0.9999999898445839,-0.8397999898445839,-0.00012002757939575934,-0.00015016142381248953,-0.011123077722506647,0.8397999898445839
AAPL,2026-02-13 18:30:00,2.4641666666666673,0.17,0.08,0.14907692307692308,0.18,0.08,104.6173,13,255.77999877929688,259.07000732421875,258.95166015625,0.11271493413558649,-0.6263611022482725,0.9999999906440137,-0.8509230675670906,0.000501687848572898,-0.00012002757939575934,-0.07574359718273016,0.8509230675670906
AAPL,2026-02-13 18:35:00,2.3758333333333326,0.09,0.05,0.07333333333333333,0.09,0.05,68.86,6,255.77999877929688,259.20001220703125,259.086669921875,0.11386683171505244,0.0,0.9999999980831541,-0.9266666647498207,0.0,0.000501687848572898,0.055852379806302865,0.9266666647498207
AAPL,2026-02-13 18:40:00,2.269166666666667,0.16,0.11,0.1291857142857143,0.16,0.11,154.95940000000002,7,255.77999877929688,259.20001220703125,259.0393371582031,0.11363806751184752,-0.13210558417732055,0.9999999992292322,-0.8708142849435179,0.00042423618113679814,0.0,-0.08918571495503902,0.8708142849435179
AAPL,2026-02-13 18:45:00,2.1852777777777774,0.04,0.04,0.04,0.04,0.04,10.0,2,255.77999877929688,259.30999755859375,259.0933329264323,0.11349231187494728,0.0,0.9999999998985569,-0.9599999998985569,-0.0010421960793417517,0.00042423618113679814,2.948584598705395e-09,0.9599999998985569
AAPL,2026-02-13 18:50:00,2.1202777777777797,0.04,0.04,0.04,0.04,0.04,40.0,2,255.77999877929688,259.0398864746094,258.80666097005206,0.1164440892505133,0.0,0.9999999969499723,-0.9599999969499723,-0.00015398997540378036,-0.0010421960793417517,-0.02000000172551819,0.9599999969499723
AAPL,2026-02-13 18:55:00,2.045277777777777,0.02,0.02,0.02,0.02,0.02,40.0,2,255.77999877929688,259.0,258.77500406901044,0.11440109497774463,0.0,0.9999999986754905,-0.9799999986754905,-0.00041012722532666383,-0.00015398997540378036,4.1487446811316886e-10,0.9799999986754905
AAPL,2026-02-13 19:00:00,1.993611111111111,0.02,0.02,0.02,0.02,0.02,103.0612,3,255.77999877929688,258.893798828125,258.73793538411456,0.11292556778885494,0.0,0.999999998260616,-0.979999998260616,0.00021710553618359174,-0.00041012722532666383,0.07999999835916127,0.979999998260616
AAPL,2026-02-13 19:05:00,1.8475000000000001,0.1,0.1,0.1,0.1,0.1,5.5,2,255.77999877929688,258.95001220703125,258.81334431966144,0.11083910629432113,-0.9,0.9999999999014547,-0.8999999999014547,0.00027019637006552326,0.00021710553618359174,-0.07500000008620378,0.8999999999014547
AAPL,2026-02-13 19:10:00,1.776944444444446,0.03,0.02,0.025,0.03,0.02,23.5192,4,255.77999877929688,259.0199890136719,258.8633626302083,0.11009990617400851,-0.9756445993031359,0.9999999999876585,-0.9749999999876585,-0.00027019637006562604,0.00027019637006552326,-0.005000000010486949,0.9749999999876585
AAPL,2026-02-13 19:15:00,1.6797222222222246,0.02,0.02,0.02,0.02,0.02,30.0798,2,255.77999877929688,258.95001220703125,258.8733418782552,0.10646086354199683,-0.98,0.9999999999981455,-0.9799999999981455,-0.0006180849877929941,-0.00027019637006562604,1.350808354061428e-12,0.9799999999981455
AAPL,2026-02-13 19:25:00,1.5625,0.02,0.02,0.02,0.02,0.02,408.1632,2,255.77999877929688,258.7900085449219,258.50999959309894,0.1060263077573799,0.0,0.9999999999967947,-0.9799999999967947,-0.0012373172447262147,-0.0006180849877929941,0.007556250010921084,0.9799999999967947
AAPL,2026-02-13 19:35:00,1.3491666666666688,0.02,0.0379,0.02755625,0.04,0.01,1305.1341,16,255.77999877929688,258.4700012207031,258.32667032877606,0.10532468581909538,-0.3279946542321537,0.9999999999858735,-0.9724437499858736,-0.0006192332040717454,-0.0012373172447262147,-0.017303618435179025,0.9724437499858736
AAPL,2026-02-13 20:05:00,0.866388888888892,0.01,0.01,0.010252631578947369,0.012,0.01,921.5204,19,255.77999877929688,258.30999755859375,257.8716735839844,0.09055235610153012,-0.8408008926201597,1.0,-0.9897473684210526,-0.0011620228636091932,-0.0006192332040717454,0.004247368421052555,0.9897473684210526
AAPL,2026-02-13 20:10:00,0.7597222222222229,0.014,0.015,0.014499999999999999,0.015,0.014,180.78,3,255.77999877929688,258.010009765625,257.68332926432294,0.09337693882482108,-0.49312328082020507,1.0,-0.9855,-0.0012022166827211872,-0.0011620228636091932,-0.012499999999770361,0.9855
AAPL,2026-02-13 20:15:00,0.6936111111111103,0.002,0.002,0.002,0.002,0.002,230.0,2,255.77999877929688,257.70001220703125,257.3333028157552,0.09654817077352468,0.0,0.9999999999997704,-0.9979999999997704,-0.001436909303570264,-0.0012022166827211872,-0.0007619047211709917,0.9979999999997704
AAPL,2026-02-13 20:20:00,0.588055555555556,0.002,0.002,0.0012380952380952382,0.002,0.001,15471.4274,21,255.77999877929688,257.3299865722656,256.9149881998698,0.0943582852700856,-0.37712857791121646,0.9999999999590367,-0.9987619047209414,-0.00447896191104043,-0.001436909303570264,0.05889843157775798,0.9987619047209414
AAPL,2026-02-13 20:30:00,0.4447222222222216,0.001,0.001,0.0013333333333333333,0.002,0.001,174.93,6,255.77999877929688,256.17999267578125,255.71332804361978,0.11662732059589538,-0.8699247391711619,0.9411968064765167,-0.9398634731431834,-0.00035136291700318083,-0.00447896191104043,-0.03550217124965793,0.9398634731431834
AAPL,2026-02-13 20:45:00,0.17583333333333329,0.001,0.001,0.001375,0.002,0.001,1416.2929,8,255.77999877929688,256.0899963378906,255.92999776204428,0.11293746936782724,-0.040936648058030434,0.9767406443928414,-0.9753656443928413,0.0022233351887846493,-0.00035136291700318083,-0.017634346368092246,0.9753656443928413
AAPL,2026-02-13 20:50:00,0.12138888888888744,0.016,0.01,0.007,0.016,0.001,9598.1162,8,255.77999877929688,256.6600036621094,256.27447001139325,0.13629879303849188,-0.002130438362827225,0.9999999907609336,-0.9929999907609336,0.01096586249939299,0.0022233351887846493,1.5670479770737002,0.9929999907609336
AAPL,2026-02-17 14:30:00,6.419166666666669,0.59,0.83,0.6584,0.83,0.51,904.3613,37,263.8800048828125,259.489990234375,257.9143320719401,0.37484875009841984,-0.26068109442536347,0.08435201368723333,0.5740479863127667,0.0006935172174471065,0.01096586249939299,0.10237824224866776,0.5740479863127667
AAPL,2026-02-17 14:35:00,6.411388888888887,0.77,0.77,0.77,0.77,0.77,12.0,2,263.8800048828125,259.6700134277344,258.9249979654948,0.37522821936709827,0.0,0.09357377143856555,0.6764262285614344,0.000192486538875461,0.0006935172174471065,0.05661260199233842,0.6764262285614344
AAPL,2026-02-17 14:45:00,6.203611111111112,0.83,0.83,0.8255555555555555,0.83,0.81,241.73,9,263.8800048828125,259.7200012207031,259.1300048828125,0.37507191028848363,0.17148760330578527,0.09251672500178265,0.7330388305537728,0.0010774986751681,0.000192486538875461,0.010498533182961456,0.7330388305537728
AAPL,2026-02-17 15:10:00,5.802500000000002,0.85,0.85,0.85,0.85,0.85,161.7085,3,263.8800048828125,260.0,259.69167073567706,0.38479341581957277,-0.15000000000000013,0.10646263626326569,0.7435373637367343,0.005331969936318633,0.0010774986751681,-0.04824932717670205,0.7435373637367343
AAPL,2026-02-17 15:15:00,5.685277777777777,0.92,0.92,0.92,0.92,0.92,25.0,2,263.8800048828125,261.3900146484375,260.8116760253906,0.4106240312643486,0.0,0.22471196343996774,0.6952880365600322,-0.004178835847337219,0.005331969936318633,0.10168457856040336,0.6952880365600322
AAPL,2026-02-17 15:25:00,5.550277777777779,0.93,0.95,0.94228,0.95,0.93,993.0,5,263.8800048828125,260.29998779296875,259.78333536783856,0.42816644664550146,-0.014000000000000012,0.1453073848795644,0.7969726151204356,-0.001923060251329305,-0.004178835847337219,-0.045661029151723764,0.7969726151204356
AAPL,2026-02-17 15:30:00,5.4375,0.91,0.81,0.865,0.91,0.81,37.1134,8,263.8800048828125,259.7998962402344,259.4266357421875,0.4318411028262246,2.224055905852359,0.11368841403128821,0.7513115859687118,0.0005967826056582482,-0.001923060251329305,0.07164091437532472,0.7513115859687118
AAPL,2026-02-17 15:40:00,5.254722222222224,0.94,0.94,0.94,0.94,0.94,40.0,4,263.8800048828125,259.9549865722656,259.7083333333333,0.4285659496042603,0.0,0.11704749965596345,0.8229525003440366,0.0034753213288946923,0.0005967826056582482,-0.01788188582624184,0.8229525003440366
AAPL,2026-02-17 16:25:00,4.50138888888889,0.96,0.96,0.96,0.96,0.96,10.46,2,263.8800048828125,260.8599853515625,260.4449971516927,0.4167334467602408,0.0,0.15492938548220525,0.8050706145177947,-0.002033803375107772,0.0034753213288946923,0.12654940381350832,0.8050706145177947
AAPL,2026-02-17 16:30:00,4.459722222222222,0.96,0.96,0.96,0.96,0.96,2.625,2,263.8800048828125,260.3299865722656,260.1599934895833,0.2617265057220218,0.0,0.028379981668696982,0.931620018331303,0.0019571730726993556,-0.002033803375107772,-0.03412728856835545,0.931620018331303
AAPL,2026-02-17 16:35:00,4.349166666666669,0.95,0.95,0.95,0.95,0.95,200.0,2,263.8800048828125,260.8399963378906,260.51666259765625,0.2664875529149874,0.0,0.052507270237052345,0.8974927297629476,0.0008047346099593232,0.0019571730726993556,-0.0008410701420709099,0.8974927297629476
AAPL,2026-02-17 16:50:00,4.084166666666668,0.96,0.96,0.963076923076923,0.97,0.96,567.982,13,263.8800048828125,261.04998779296875,260.7866617838542,0.2760439577161903,0.6991237074209247,0.06642526345604638,0.8966516596208767,0.002601100526907177,0.0008047346099593232,-0.05700737638847553,0.8966516596208767
